Well,average_frequency_b.sgy,average_ksi.sgy,average_time.sgy,both_stau.sgy,both_stime.sgy,difr smax dev reflect.sgy,ksi_psi.sgy,KgAver300
TRAIN,-11.0975,1.41933,28.5659,0.666775,255.0,0.28793818,-0.288515,0.6634779860599591
TRAIN,-10.3085,1.49725,28.6671,0.660842,254.0,0.33287412,-0.368001,0.6747510426436714
TRAIN,6.88031,1.14791,32.3418,0.665358,256.0,0.316013,-0.358617,0.6659759731340933
TRAIN,-23.873,1.43858,33.4698,0.661201,254.0,0.3075161,-0.352889,0.6831934305393385
TRAIN,-11.1678,1.07697,35.4494,0.666791,254.0,0.33707184,-0.298126,0.6831934305393385
TRAIN,15.9858,0.743436,29.8728,0.662868,254.0,0.35064283,-0.357419,0.6831934305393385
TRAIN,-19.8947,1.12487,32.4285,0.663687,254.0,0.33281767,-0.264953,0.6831934305393385
TRAIN,-15.2564,0.994785,29.7415,0.6614,255.0,0.34254605,-0.280258,0.588
TRAIN,-13.922,-5.30368,40.5912,0.669183,251.0,0.26988536,-0.307675,0.4372460675277886
TRAIN,-23.2401,-6.13855,42.1708,0.666554,250.0,0.2485581,-0.452553,0.4372460675277886
TRAIN,8.21713,-5.40366,38.1669,0.665888,250.0,0.26335692,-0.397396,0.4372460675277886
TRAIN,-52.4395,-5.21785,26.3509,0.665532,249.0,0.22150117,-0.30111,0.4372460675277886
TRAIN,-24.7832,-3.03825,29.2579,0.667875,249.0,0.23647779,-0.324649,0.4372460675277886
TRAIN,-11.584,-1.87436,28.3482,0.665065,249.0,0.23992302,-0.218911,0.4372460675277886
TRAIN,-13.3405,-3.57545,29.2648,0.667587,251.0,0.29558674,-0.19231,0.5789293764501992
TRAIN,-29.0882,-3.71673,27.8506,0.66904,250.0,0.29020846,-0.247012,0.4372460675277886
TRAIN,10.8182,-4.98438,31.1074,0.666475,251.0,0.24922036,-0.241067,0.5814589234053654
TRAIN,-8.86634,-4.02538,27.1378,0.668359,179.0,0.30375865,-0.319131,0.5814589234053654
TRAIN,-24.4378,-5.35143,31.8869,0.669795,156.0,0.278279,-0.432701,0.5849060302436138
TRAIN,-23.5927,-3.76384,26.9444,0.664837,156.0,0.26649868,-0.343493,0.5849060302436138
TRAIN,-13.6446,-4.62981,38.4124,0.666465,157.0,0.25878957,-0.403393,0.5849060302436138
TRAIN,-41.2213,-6.29577,43.816,0.659674,253.0,0.23942693,-0.319948,0.5617364727735119
TRAIN,-12.4211,-4.92843,37.2522,0.662936,254.0,0.21707623,-0.270259,0.5455648268927076
